Image_Link,Brand_Name,tiles_Description,Info1,Price_Per_SqFt,Price_Per_Box,Category 
https://dpy2z8n9cxui1.cloudfront.net/V000548/livon-platinum-white-600x600-mm-high-gloss-finish-sentosa-double-charge-vitrified-tile-reycera-tiles/livon-platinum-white-600x600-mm-high-gloss-finish-sentosa-double-charge-vitrified-tile/1.png?width=240,Rey +,Livon Platinum White 600x600 mm High Gloss Finish Double Charge Vitrified Floor and Wall Tile - 9 mm,Vitrified600x600 mm,51,782,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000728/boat-caramel-300x100-mm-glossy-finish-subway-tile-8-mm-subway-tiles/boat-caramel-300x100-mm-glossy-finish-subway-tile-8-mm/1.jpeg?width=240,Subway Tiles,Boat Caramel 300x100 mm Glossy Finish Ceramic Wall Highlighter Subway Tile - 8 mm,Ceramic300x100 mm,57,1876,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000728/tokyo-green-300x75-mm-glossy-finish-subway-tile-10-mm-subway-tiles/tokyo-green-300x75-mm-glossy-finish-subway-tile-10-mm/2.jpeg?width=240,Subway Tiles,Tokyo Green 300x75 mm Glossy Finish Ceramic Wall Subway Tile - 10 mm,Ceramic300x50 mm,76,1515,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000548/rey-stoenla-gris-600x300-mm-wall-cladding-tile-reycera-tiles/rey-stoenla-gris-600x300-mm-wall-cladding-tile/1.png?width=240,Rey +,Rey Stoenla Gris 600x300 mm Matte Finish Wall Cladding Glaze Vitrified Wall Tile - 6 mm,Vitrified600x300 mm,76,877,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/safari-series-safari-satvario-600x600-mm-high-definition-digital-vitrified-tile-ceramart-tiles/safari-series-safari-satvario-600x600-mm-high-definition-digital-vitrified-tile/1.png?width=240,Safari Gold,Safari Tiles Safari Satvario 600x600 mm High Definition Digital Vitrified Tile,Vitrified600x600 mm,59,913,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001278/foam-blue-600x600-mm-glossy-finish-gvt-tile-6-mm/foam-blue/1.png?width=240,LGF Tiles,Foam Blue 600x600 mm Glossy Finish GVT Tile - 9.5 mm,Vitrified600x600 mm,59,909,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/millenium-series-pisa-600x600-mm-tile-ceramart-tiles/millenium-series-pisa-600x600-mm-tile/1.png?width=240,Millennium Tiles,Millenium Tiles Pisa 600x600 mm Tile - 8 mm,600x600 mm,58,898,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/century-series-eloss-wood-multi-600x600-mm-high-definition-glazed-vitrified-wall-floor-tile-ceramart-tiles/century-series-eloss-wood-multi-600x600-mm-high-definition-glazed-vitrified-wall-floor-tile/1.png?width=240,Century Cent Percent Tile,Century Eloss Wood Multi 600x600 mm  Matte finish High Definition Glazed Vitrified Wall & Floor Tile -10 mm,Vitrified600x600 mm,61,942,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000548/mozart-beige-cloud-1200x600-mm-sand-dune-full-body-vitrified-tile-reycera-tiles/mozart-beige-cloud-1200x600-mm-sand-dune-full-body-vitrified-tile/1.png?width=240,Rey +,Mozart Beige Cloud 1200x600 mm Matte Finish Sand Dune Full Body Vitrified Floor and Wall Tile - 9 mm,Vitrified1200x600 mm,96,1486,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001308/lagom-slate-decor-skyart-tiles/lagom-slate-decor-moroccan-200x200-mm-matte-finish-ceramic-tile/1.png?width=240,Skyart,Lagom Slate Decor 200x200 mm Matte Finish Ceramic Tile,Ceramic200x200 mm,205,1758,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001206/40032-lt-soncera-glossy/40032-lt-tiles/1.png?width=240,Soncera,40032-LT 450x300 mm Glossy Finish Ceramic Wall Tile - 7 mm,Ceramic450x300 mm,42,364,Tiles
